district,province,year,flooded,risk_score
Orakzai,KPK,2013,0,0.001121429
Khyber,KPK,2013,0,0.005296853
Mohmand,KPK,2013,0,0.041043784
Bajaur,KPK,2013,0,0.04645467
South Waziristan,KPK,2013,0,0.0019023799
North Waziristan,KPK,2013,0,0.0017923862
Torghar,KPK,2013,0,0.6753392
Kolai Pallas,KPK,2013,0,0.5307331
Swabi,KPK,2013,0,0.3289652
Tor Ghar,KPK,2013,0,0.0064469147
Khyber Tribal,KPK,2013,0,0.005510303
Quetta,Balochistan,2013,0,0.010042944
Naseerabad,Balochistan,2013,0,0.3425992
Jaffarabad,Balochistan,2013,0,0.43064028
Lasbela,Balochistan,2013,0,0.08166869
Kalat,Balochistan,2013,0,0.050466623
Khuzdar,Balochistan,2013,0,0.09056042
Turbat,Balochistan,2013,0,0.019508556
Gwadar,Balochistan,2013,0,0.009520399
Panjgur,Balochistan,2013,0,0.029613715
Chagai,Balochistan,2013,0,0.0022741247
Nushki,Balochistan,2013,0,0.0010596521
Kharan,Balochistan,2013,0,0.0026153156
Washuk,Balochistan,2013,0,0.0017263497
Awaran,Balochistan,2013,0,0.06990458
Kech,Balochistan,2013,0,0.021143265
Dera Bugti,Balochistan,2013,0,0.32398006
Kohlu,Balochistan,2013,0,0.0035908408
Sibi,Balochistan,2013,0,0.055126242
Ziarat,Balochistan,2013,0,0.0019955481
Pishin,Balochistan,2013,0,0.010022594
Qilla Abdullah,Balochistan,2013,0,0.0016798746
Qilla Saifullah,Balochistan,2013,0,0.0020623382
Loralai,Balochistan,2013,0,0.030983409
Musakhel,Balochistan,2013,0,0.013792336
Barkhan,Balochistan,2013,0,0.021641733
Harnai,Balochistan,2013,0,0.013299005
Sherani,Balochistan,2013,0,0.0014187341
Zhob,Balochistan,2013,0,0.0018187021
Jhal Magsi,Balochistan,2013,0,0.2792751
Khairpur Tamewali,Balochistan,2013,0,0.0045086946
Mastung,Balochistan,2013,0,0.010115952
Surab,Balochistan,2013,0,0.0016785254
Lehri,Balochistan,2013,0,0.055046692
Gilgit,GB,2013,1,0.8826433
Skardu,GB,2013,0,0.1350634
Hunza,GB,2013,0,0.593819
Nagar,GB,2013,0,0.3112902
Ghanche,GB,2013,0,0.12102337
Shigar,GB,2013,0,0.014599658
Kharmang,GB,2013,0,0.006368285
Roundu,GB,2013,0,0.28423914
Tangir,GB,2013,0,0.07086879
Darel,GB,2013,0,0.088588476
Diamer,GB,2013,1,0.78424627
Astore,GB,2013,1,0.8271149
Ghizer,GB,2013,1,0.71872634
Gupis Yasin,GB,2013,0,0.2056537
Muzaffarabad,AJK,2013,1,0.6960637
Mirpur,AJK,2013,0,0.037349194
Bagh,AJK,2013,0,0.28104457
Rawalakot,AJK,2013,0,0.0041414914
Kotli,AJK,2013,0,0.05448544
Neelum,AJK,2013,1,0.6815502
Haveli,AJK,2013,0,0.0034718995
Sudhnoti,AJK,2013,0,0.0021223845
