district,year,flooded,annual_total_mm,annual_max_daily,monsoon_total_mm,monsoon_avg_daily,monsoon_max_daily,monsoon_rainy_days,premonsoon_total_mm,province,lat,lon,elevation_m,terrain_type,river_proximity,flood_risk_geo,terrain_code,geo_risk_code,province_code,flood_intensity_score,flood_intensity_category,flood_intensity_code,risk_score
Naseerabad,2010,1,171.58,23.47,157.64,1.2921,23.47,11,9.75,Balochistan,28.8775,68.3497,55,plains,1,medium,1,2,4.0,84.4674,moderate,3,0.9948264
Jaffarabad,2010,1,168.88,34.12,156.19,1.2802,34.12,9,10.12,Balochistan,28.5236,68.1636,58,plains,1,medium,1,2,4.0,91.3687,moderate,3,0.9944593
Lasbela,2010,0,186.93,39.65,178.55,1.4635,39.65,12,2.63,Balochistan,26.2197,66.6997,36,coastal,0,high,2,3,4.0,100.8243,high,4,0.7676227
Kalat,2010,0,79.99,6.38,43.6,0.3574,5.61,3,10.29,Balochistan,29.0239,66.5903,1920,mountains,0,low,4,1,4.0,0.9907,very_low,1,0.083455175
Khuzdar,2010,0,119.65,21.6,89.89,0.7368,21.6,4,16.16,Balochistan,27.8125,66.6167,1260,mountains,0,low,4,1,4.0,2.9043,very_low,1,0.040425047
Turbat,2010,0,115.88,56.13,76.38,0.6261,56.13,1,1.58,Balochistan,26.0025,63.0406,152,plains,1,medium,1,2,4.0,51.6077,moderate,3,0.0718138
Gwadar,2010,0,164.43,90.99,129.94,1.0651,90.99,3,1.18,Balochistan,25.1264,62.3256,10,coastal,0,high,2,3,4.0,239.1986,high,4,0.19036722
Panjgur,2010,0,52.32,11.31,11.69,0.0958,3.21,0,5.52,Balochistan,26.9667,64.0833,969,mountains,1,low,4,1,4.0,1.903,very_low,1,0.041810602
Chagai,2010,0,23.63,7.58,1.21,0.0099,0.46,0,11.14,Balochistan,29.1,64.52,900,mountains,0,low,4,1,4.0,0.5292,very_low,1,0.0025465859
Nushki,2010,0,77.64,13.96,15.17,0.1243,3.79,0,10.03,Balochistan,29.5519,66.0206,1340,mountains,0,low,4,1,4.0,1.011,very_low,1,0.0019671875
Kharan,2010,0,60.67,9.53,29.96,0.2456,9.53,1,10.99,Balochistan,28.5833,65.4167,900,mountains,0,low,4,1,4.0,1.2838,very_low,1,0.0037105565
Washuk,2010,0,46.54,11.94,9.37,0.0768,4.61,0,7.02,Balochistan,27.5667,64.4667,700,mountains,0,low,4,1,4.0,1.1143,very_low,1,0.0020211306
Awaran,2010,0,78.41,9.37,43.09,0.3532,9.37,1,7.16,Balochistan,26.3597,65.2436,420,mountains,1,medium,4,2,4.0,8.9859,very_low,1,0.061306667
Kech,2010,0,115.88,56.13,76.38,0.6261,56.13,1,1.58,Balochistan,26.05,63.05,140,plains,1,medium,1,2,4.0,53.7589,moderate,3,0.075306796
Dera Bugti,2010,1,172.92,23.56,161.72,1.3256,23.56,11,8.34,Balochistan,29.0369,69.1583,180,plains,1,medium,1,2,4.0,47.7647,low,2,0.977419
Kohlu,2010,0,156.83,27.81,136.03,1.115,27.81,8,6.19,Balochistan,29.8942,69.2542,950,mountains,1,low,4,1,4.0,9.6787,very_low,1,0.0028342635
Sibi,2010,1,165.85,33.34,146.69,1.2024,33.34,9,8.97,Balochistan,29.5444,67.8775,133,plains,1,medium,1,2,4.0,58.119,moderate,3,0.8786618
Ziarat,2010,0,161.71,24.35,73.16,0.5997,20.23,3,12.59,Balochistan,30.3819,67.7264,2449,mountains,0,low,4,1,4.0,1.9616,very_low,1,0.0018358801
Pishin,2010,0,149.25,34.39,32.37,0.2653,13.49,1,13.99,Balochistan,30.5758,66.9953,1580,mountains,0,low,4,1,4.0,2.256,very_low,1,0.00672418
Qilla Abdullah,2010,0,149.25,34.39,32.37,0.2653,13.49,1,13.99,Balochistan,30.6803,66.5806,1200,mountains,0,low,4,1,4.0,2.5884,very_low,1,0.0017747629
Qilla Saifullah,2010,0,179.76,24.65,131.59,1.0786,24.65,11,9.26,Balochistan,30.7039,68.3508,1550,mountains,0,low,4,1,4.0,3.6756,very_low,1,0.0038350113
Loralai,2010,0,192.6,25.25,165.91,1.3599,25.25,12,5.57,Balochistan,30.3722,68.5917,1390,mountains,0,low,4,1,4.0,4.5057,very_low,1,0.014275719
Musakhel,2010,0,133.85,14.57,114.57,0.9391,14.57,8,3.96,Balochistan,30.0,69.75,1050,mountains,1,low,4,1,4.0,6.7788,very_low,1,0.008626111
Barkhan,2010,0,156.83,27.81,136.03,1.115,27.81,8,6.19,Balochistan,29.8958,69.5264,1000,mountains,1,low,4,1,4.0,9.4339,very_low,1,0.010064324
Harnai,2010,0,165.1,34.01,133.02,1.0903,34.01,8,8.89,Balochistan,30.1,67.93,1100,mountains,1,low,4,1,4.0,9.6339,very_low,1,0.010838189
Sherani,2010,0,293.86,27.38,258.77,2.1211,27.38,14,5.57,Balochistan,31.05,69.95,1650,mountains,0,low,4,1,4.0,5.6856,very_low,1,0.006451003
Zhob,2010,0,301.67,37.64,252.6,2.0705,37.64,12,8.25,Balochistan,31.3436,69.4486,1405,mountains,1,low,4,1,4.0,13.0593,very_low,1,0.0053614113
Jhal Magsi,2010,1,135.2,17.0,114.69,0.9401,17.0,8,11.83,Balochistan,28.2808,67.7256,62,plains,1,medium,1,2,4.0,57.8608,moderate,3,0.9925088
Khairpur Tamewali,2010,0,174.38,14.88,148.95,1.2209,14.88,9,12.04,Balochistan,29.5694,72.2403,100,plains,1,medium,1,2,4.0,52.7887,moderate,3,0.01646555
Mastung,2010,0,126.54,25.21,33.91,0.278,11.84,1,12.36,Balochistan,29.7942,66.8411,1840,mountains,0,low,4,1,4.0,1.6843,very_low,1,0.008006353
Surab,2010,0,78.6,12.24,45.96,0.3767,12.24,4,13.19,Balochistan,28.49,66.26,1620,mountains,0,low,4,1,4.0,1.442,very_low,1,0.0037446395
Lehri,2010,1,165.85,33.34,146.69,1.2024,33.34,9,8.97,Balochistan,29.43,68.18,80,plains,1,medium,1,2,4.0,74.7529,moderate,3,0.9493766
Gilgit,2010,0,349.03,16.12,143.38,1.1752,13.57,7,88.81,GB,35.9208,74.3089,1500,mountains,1,medium,4,2,6.0,13.2947,very_low,1,0.28268966
Skardu,2010,0,417.04,25.92,148.65,1.2184,10.01,6,125.39,GB,35.2971,75.6333,2438,mountains,1,medium,4,2,6.0,12.1516,very_low,1,0.0065282523
Hunza,2010,0,273.33,12.83,119.21,0.9771,12.83,2,66.82,GB,36.3147,74.6481,2438,mountains,1,medium,4,2,6.0,8.1145,very_low,1,0.13305794
Nagar,2010,0,349.03,16.12,143.38,1.1752,13.57,7,88.81,GB,36.2333,74.45,2900,mountains,1,medium,4,2,6.0,9.563,very_low,1,0.027191939
